city,car_id,company,model,vehicle_type,seats,price_per_hour,private,ac_available,gps_available,amenities
Delhi,CAR001,Uber,Sedan,Car,4,250,true,true,true,"AC, GPS, Music System, Water Bottles"
Delhi,CAR002,Ola,SUV,Car,6,350,true,true,true,"AC, GPS, Music System, Extra Space, Water Bottles"
Delhi,CAR003,ZoomCar,Hatchback,Car,4,200,true,true,true,"AC, GPS, Music System"
Delhi,CAR004,Uber,Sedan Premium,Car,4,400,true,true,true,"AC, GPS, Music System, Leather Seats, WiFi"
Mumbai,CAR005,Uber,Sedan,Car,4,280,true,true,true,"AC, GPS, Music System, Water Bottles"
Mumbai,CAR006,Ola,SUV,Car,6,380,true,true,true,"AC, GPS, Music System, Extra Space, Water Bottles"
Mumbai,CAR007,ZoomCar,Hatchback,Car,4,220,true,true,true,"AC, GPS, Music System"
Goa,CAR008,Uber,Sedan,Car,4,300,true,true,true,"AC, GPS, Music System, Water Bottles"
Goa,CAR009,Ola,SUV,Car,6,420,true,true,true,"AC, GPS, Music System, Extra Space, Water Bottles"
Goa,CAR010,ZoomCar,Hatchback,Car,4,250,true,true,true,"AC, GPS, Music System"
Bangalore,CAR011,Uber,Sedan,Car,4,260,true,true,true,"AC, GPS, Music System, Water Bottles"
Bangalore,CAR012,Ola,SUV,Car,6,360,true,true,true,"AC, GPS, Music System, Extra Space, Water Bottles"
Bangalore,CAR013,ZoomCar,Hatchback,Car,4,210,true,true,true,"AC, GPS, Music System"
Chennai,CAR014,Uber,Sedan,Car,4,240,true,true,true,"AC, GPS, Music System, Water Bottles"
Chennai,CAR015,Ola,SUV,Car,6,340,true,true,true,"AC, GPS, Music System, Extra Space, Water Bottles"
Kolkata,CAR016,Uber,Sedan,Car,4,230,true,true,true,"AC, GPS, Music System, Water Bottles"
Kolkata,CAR017,Ola,SUV,Car,6,330,true,true,true,"AC, GPS, Music System, Extra Space, Water Bottles"
Pune,CAR018,Uber,Sedan,Car,4,220,true,true,true,"AC, GPS, Music System, Water Bottles"
Pune,CAR019,Ola,SUV,Car,6,320,true,true,true,"AC, GPS, Music System, Extra Space, Water Bottles"
Hyderabad,CAR020,Uber,Sedan,Car,4,240,true,true,true,"AC, GPS, Music System, Water Bottles"
Hyderabad,CAR021,Ola,SUV,Car,6,350,true,true,true,"AC, GPS, Music System, Extra Space, Water Bottles"