from_city,to_city,taxi_id,company,model,vehicle_type,distance,estimated_duration,price,amenities
Delhi,Mumbai,TAXI001,Uber,Sedan,Car,1400,14h 0m,15000,"AC, GPS, Music System, Water Bottles"
Delhi,Mumbai,TAXI002,Ola,Sedan,Car,1400,14h 0m,14500,"AC, GPS, Music System, Water Bottles"
Delhi,Mumbai,TAXI003,Uber,SUV,Car,1400,13h 30m,18000,"AC, GPS, Music System, Extra Space"
Delhi,Goa,TAXI004,Uber,Sedan,Car,1800,16h 0m,20000,"AC, GPS, Music System, Water Bottles"
Delhi,Goa,TAXI005,Ola,SUV,Car,1800,15h 30m,24000,"AC, GPS, Music System, Extra Space"
Delhi,Bangalore,TAXI006,Uber,Sedan,Car,2100,18h 0m,22000,"AC, GPS, Music System, Water Bottles"
Delhi,Bangalore,TAXI007,Ola,Sedan,Car,2100,18h 0m,21500,"AC, GPS, Music System, Water Bottles"
Delhi,Kolkata,TAXI008,Uber,Sedan,Car,1500,15h 30m,16500,"AC, GPS, Music System, Water Bottles"
Delhi,Kolkata,TAXI009,Ola,SUV,Car,1500,15h 0m,19500,"AC, GPS, Music System, Extra Space"
Delhi,Chennai,TAXI010,Uber,Sedan,Car,2200,19h 0m,23500,"AC, GPS, Music System, Water Bottles"
Delhi,Chennai,TAXI011,Ola,Sedan,Car,2200,19h 0m,23000,"AC, GPS, Music System, Water Bottles"
Mumbai,Delhi,TAXI012,Uber,Sedan,Car,1400,14h 0m,15000,"AC, GPS, Music System, Water Bottles"
Mumbai,Delhi,TAXI013,Ola,Sedan,Car,1400,14h 0m,14500,"AC, GPS, Music System, Water Bottles"
Mumbai,Goa,TAXI014,Uber,SUV,Car,550,6h 0m,6500,"AC, GPS, Music System, Extra Space"
Mumbai,Goa,TAXI015,Ola,Sedan,Car,550,6h 0m,6000,"AC, GPS, Music System, Water Bottles"
Mumbai,Bangalore,TAXI016,Uber,Sedan,Car,980,10h 0m,11000,"AC, GPS, Music System, Water Bottles"
Mumbai,Bangalore,TAXI017,Ola,SUV,Car,980,9h 30m,13000,"AC, GPS, Music System, Extra Space"
Goa,Delhi,TAXI018,Uber,Sedan,Car,1800,16h 0m,20000,"AC, GPS, Music System, Water Bottles"
Goa,Delhi,TAXI019,Ola,SUV,Car,1800,15h 30m,24000,"AC, GPS, Music System, Extra Space"
Goa,Mumbai,TAXI020,Uber,SUV,Car,550,6h 0m,6500,"AC, GPS, Music System, Extra Space"
Goa,Mumbai,TAXI021,Ola,Sedan,Car,550,6h 0m,6000,"AC, GPS, Music System, Water Bottles"
Bangalore,Delhi,TAXI022,Uber,Sedan,Car,2100,18h 0m,22000,"AC, GPS, Music System, Water Bottles"
Bangalore,Delhi,TAXI023,Ola,Sedan,Car,2100,18h 0m,21500,"AC, GPS, Music System, Water Bottles"
Bangalore,Mumbai,TAXI024,Uber,SUV,Car,980,10h 0m,13000,"AC, GPS, Music System, Extra Space"
Bangalore,Mumbai,TAXI025,Ola,Sedan,Car,980,10h 0m,12000,"AC, GPS, Music System, Water Bottles"