from_city,to_city,train_number,railway,train_type,departure_time,arrival_time,duration,stops,ac_available,sleeper_available,price,amenities
Delhi,Mumbai,12951,Mumbai Rajdhani,Rajdhani,16:40,08:35,15h 55m,0,true,true,3200,"WiFi,Meals,Pantry,Entertainment"
Delhi,Mumbai,12165,LTT Express,Superfast,14:20,06:15,15h 55m,1,true,true,2800,"Meals,Pantry"
Delhi,Mumbai,12267,Duronto Express,Duronto,22:40,12:35,13h 55m,0,true,true,3500,"WiFi,Meals,Pantry,Entertainment"
Mumbai,Delhi,12952,Mumbai Rajdhani,Rajdhani,17:00,08:55,15h 55m,0,true,true,3200,"WiFi,Meals,Pantry,Entertainment"
Mumbai,Delhi,12166,LTT Express,Superfast,15:35,07:30,15h 55m,1,true,true,2800,"Meals,Pantry"
Mumbai,Delhi,12268,Duronto Express,Duronto,23:05,13:00,13h 55m,0,true,true,3500,"WiFi,Meals,Pantry,Entertainment"
Delhi,Goa,12779,Goa Express,Superfast,15:00,06:45,15h 45m,2,true,true,2200,"Meals,Pantry"
Goa,Delhi,12780,Goa Express,Superfast,16:30,08:15,15h 45m,2,true,true,2200,"Meals,Pantry"
Delhi,Bangalore,12627,Karnataka Express,Superfast,20:40,08:20,11h 40m,1,true,true,2400,"Meals,Pantry"
Bangalore,Delhi,12628,Karnataka Express,Superfast,21:45,09:25,11h 40m,1,true,true,2400,"Meals,Pantry"
Delhi,Kolkata,12301,Howrah Rajdhani,Rajdhani,16:55,08:45,15h 50m,0,true,true,3800,"WiFi,Meals,Pantry,Entertainment"
Kolkata,Delhi,12302,Howrah Rajdhani,Rajdhani,17:20,09:10,15h 50m,0,true,true,3800,"WiFi,Meals,Pantry,Entertainment"
Delhi,Chennai,12621,Tamil Nadu Express,Superfast,22:15,16:45,18h 30m,2,true,true,2600,"Meals,Pantry"
Chennai,Delhi,12622,Tamil Nadu Express,Superfast,05:15,23:45,18h 30m,2,true,true,2600,"Meals,Pantry"
Mumbai,Goa,10111,Mandovi Express,Express,07:10,13:30,6h 20m,1,false,false,800,"Basic seating"
Goa,Mumbai,10112,Mandovi Express,Express,14:30,20:50,6h 20m,1,false,false,800,"Basic seating"
Mumbai,Bangalore,16529,Udyan Express,Express,08:05,05:25,21h 20m,3,false,false,1200,"Basic seating"
Bangalore,Mumbai,16530,Udyan Express,Express,20:00,17:20,21h 20m,3,false,false,1200,"Basic seating"
Delhi,Pune,11077,Jhelum Express,Express,18:40,08:05,13h 25m,2,false,false,1400,"Basic seating"
Pune,Delhi,11078,Jhelum Express,Express,21:45,11:10,13h 25m,2,false,false,1400,"Basic seating"